# from Controls of Trace Metals in Seawater, Bruland and Lohan (2003) 10.1016/B0-08-043751-6/06105-3
element,name,value,min,max
3,Li,2.59E-05,,
4,Be,2.30E-08,4.00E-09,3.00E-08
5,B,4.16E-04,,
6,C,2.25E-03,1.90E-03,2.50E-03
7,N2,5.90E-04,3.50E-04,6.10E-04
7,NO3,3.00E-05,1.00E-08,4.50E-05
8,O,1.75E-04,1.00E-06,3.50E-04
9,F,6.80E-05,,
11,Na,0.46906,,
12,Mg,0.05282,,
13,Al,2.00E-09,3.00E-10,4.00E-08
14,Si,1.00E-04,5.00E-07,1.80E-04
15,P,2.30E-06,1.00E-09,3.50E-06
16,S,0.02824,,
17,Cl,0.54586,,
19,K,0.01021,,
20,Ca,0.01028,1.01E-02,1.03E-02
21,Sc,1.60E-11,8.00E-12,2.00E-11
22,Ti,1.60E-10,5.00E-12,2.50E-10
23,V,,3.00E-08,3.60E-08
24,Cr,4.00E-09,3.00E-09,5.00E-09
25,Mn,3.00E-10,8.00E-11,5.00E-09
26,Fe,5.00E-10,2.00E-11,2.00E-09
27,Co,2.00E-11,4.00E-12,3.00E-10
28,Ni,8.00E-09,2.00E-09,1.20E-08
29,Cu,3.00E-09,5.00E-10,4.50E-09
30,Zn,5.00E-09,5.00E-11,9.00E-09
31,Ga,,1.20E-11,3.00E-11
32,Ge,7.00E-11,1.00E-12,1.00E-10
33,As,2.30E-08,2.00E-08,2.50E-08
34,Se,1.70E-09,5.00E-10,2.30E-09
35,Br,8.40E-04,,
37,Rb,1.40E-06,,
38,Sr,9.00E-05,,
39,Y,2.00E-10,6.00E-11,3.00E-10
40,Zr,2.00E-10,1.20E-11,3.00E-10
41,Nb,,9.00E-13,5.00E-11
42,Mo,1.05E-07,,
44,Ru,,5.00E-15,5.00E-14
45,Rh,8.00E-13,4.00E-13,1.00E-12
46,Pd,6.00E-13,2.00E-13,7.00E-13
47,Ag,2.00E-11,1.00E-12,3.50E-11
48,Cd,6.00E-10,1.00E-12,1.00E-09
49,In,7.00E-14,4.00E-14,1.00E-13
50,Sn,4.00E-12,1.00E-12,2.00E-11
51,Sb,1.60E-09,,
52,Te,6.00E-13,5.00E-13,1.20E-12
53,I,4.50E-07,4.00E-07,4.60E-07
55,Cs,2.20E-09,,
56,Ba,1.10E-07,3.00E-08,1.50E-07
71,Lu,1.00E-12,3.00E-13,1.50E-12
72,Hf,7.00E-13,1.00E-13,8.00E-13
73,Ta,2.00E-13,6.00E-14,2.20E-13
74,W,6.00E-08,,
75,Re,4.00E-08,,
76,Os,5.00E-14,1.50E-14,6.00E-14
77,Ir,,5.00E-16,1.00E-15
78,Pt,2.50E-13,2.00E-13,1.50E-12
79,Au,,1.00E-11,1.00E-10
80,Hg,1.00E-12,2.00E-13,1.00E-11
81,Tl,7.00E-11,6.00E-11,8.00E-11
82,Pb,1.00E-11,5.00E-12,1.50E-10
